,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
6874,549.0,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Rio Branco,AC,3.889,4
6878,570.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Caicó,RN,2.733,3
6879,572.0,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Niterói,RJ,4.106,5
6880,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Alegre,ES,2.84,3
6881,574.0,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Seropédica,RJ,3.624,4
6882,575.0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Belo Horizonte,MG,4.569,5
6883,576.0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Juiz de Fora,MG,3.543,4
6884,577.0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Maceió,AL,1.274,2
6885,577.0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Penedo,AL,1.809,2
6886,578.0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Salvador,BA,3.637,4
6887,579.0,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Rio Tinto,PB,2.313,3
6888,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Recife,PE,3.379,4
6889,582.0,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Santa Maria,RS,2.816,3
6890,582.0,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Frederico Westphalen,RS,0.867,1
6891,583.0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Quixadá,CE,2.095,3
6892,583.0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Crateús,CE,2.958,4
6893,584.0,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Goiânia,GO,3.032,4
6894,585.0,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Florianópolis,SC,3.144,4
6895,587.0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Serra Talhada,PE,2.139,3
6896,587.0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Recife,PE,1.319,2
6897,587.0,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Recife,PE,3.616,4
6898,588.0,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,Curitiba,PR,3.684,4
6899,589.0,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,Angicos,RN,1.373,2
6901,592.0,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,Lavras,MG,2.884,3
6902,593.0,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET/RJ,Nova Friburgo,RJ,4.39,5
6903,596.0,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,Diamantina,MG,3.26,4
6904,598.0,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,UNIFEI,Itajubá,MG,3.731,4
6905,599.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IFBA,Vitória da Conquista,BA,3.102,4
6906,599.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA",IFBA,Feira de Santana,BA,3.54,4
6907,600.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,São Luís,MA,3.288,4
6908,621.0,CENTRO UNIVERSITÁRIO CESMAC,CESMAC,Maceió,AL,2.285,3
6909,626.0,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO,UNICNEC,Osório,RS,3.853,4
6910,636.0,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,ESPM,São Paulo,SP,3.08,4
6912,649.0,CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA,UNIUV,União da Vitória,PR,3.923,4
6913,663.0,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,São Gonçalo,RJ,2.426,3
6914,663.0,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,Juiz de Fora,MG,0.757,1
6915,663.0,UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,Belo Horizonte,MG,0.921,1
6916,664.0,UNIVERSIDADE VILA VELHA,UVV,Vila Velha,ES,3.308,4
6917,665.0,UNIVERSIDADE DE TAUBATÉ,UNITAU,Taubaté,SP,2.426,3
6918,688.0,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Jequié,BA,2.707,3
6919,693.0,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,Rio de Janeiro,RJ,3.202,4
6920,694.0,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Campo Grande,MS,2.706,3
6921,694.0,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Coxim,MS,2.831,3
6922,694.0,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Ponta Porã,MS,1.868,2
6923,694.0,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Corumbá,MS,1.283,2
6924,694.0,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Três Lagoas,MS,4.189,5
6925,707.0,CENTRO UNIVERSITÁRIO CENTRAL PAULISTA,UNICEP,Rio Claro,SP,3.905,4
6926,718.0,UNIVERSIDADE POTIGUAR,UNP,Natal,RN,1.997,3
6927,719.0,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,Sinop,MT,2.803,3
6928,719.0,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,Cáceres,MT,1.325,2
6929,719.0,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,UNEMAT,Colíder,MT,0.767,1
6932,794.0,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE,UNIVAG,Várzea Grande,MT,3.651,4
6933,823.0,UNIVERSIDADE CEUMA,UNICEUMA,São Luís,MA,2.076,3
6934,825.0,FACULDADE PRESBITERIANA GAMMON,FAGAMMON,Lavras,MG,3.896,4
6935,826.0,CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE,UNIDESC,Luziânia,GO,1.942,2
6936,829.0,UNIVERSIDADE ESTADUAL DO TOCANTINS,UNITINS,Palmas,TO,3.131,4
6939,878.0,Centro Universitário Católica do Leste de Minas Gerais,UNILESTE,Coronel Fabriciano,MG,2.741,3
6940,952.0,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,Santos,SP,2.03,3
6942,1028.0,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,Dourados,MS,3.564,4
6943,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Passos,MG,2.319,3
6944,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Ituiutaba,MG,1.686,2
6945,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Carangola,MG,1.75,2
6946,1036.0,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Frutal,MG,1.638,2
6947,1041.0,UNIVERSIDADE DO VALE DO TAQUARI,UNIVATES,Lajeado,RS,3.258,4
6948,1042.0,UNIVERSIDADE POSITIVO,UP,Curitiba,PR,2.095,3
6949,1042.0,UNIVERSIDADE POSITIVO,UP,Curitiba,PR,1.653,2
6950,1043.0,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO,FHO,Araras,SP,2.483,3
6951,1046.0,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,UNILAGO,São José do Rio Preto,SP,2.971,4
6953,1053.0,Centro Universitário de Excelência,UNEX,Feira de Santana,BA,3.873,4
6954,1058.0,Centro Universitário Estácio da Bahia,Estácio Bahia,Salvador,BA,1.957,3
6955,1059.0,FACULDADE LOURENÇO FILHO,FLF,Fortaleza,CE,1.279,2
6957,1075.0,CENTRO UNIVERSITÁRIO - UNIESP,UNIESP,João Pessoa,PB,1.536,2
6959,1107.0,Centro Universitário Estácio do Ceará,Estácio Ceará,Fortaleza,CE,2.959,4
6960,1113.0,CENTRO UNIVERSITÁRIO EURO-AMERICANO,UNIEURO,Brasília,DF,2.425,3
6961,1115.0,FACULDADE SANTA TEREZINHA,CEST,São Luís,MA,2.217,3
6962,1120.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IF Fluminense,Campos dos Goytacazes,RJ,2.478,3
6963,1120.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IF Fluminense,Itaperuna,RJ,2.044,3
6965,1189.0,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,Lages,SC,1.945,3
6967,1253.0,FACULDADE METODISTA GRANBERY,FMG,Juiz de Fora,MG,1.828,2
6969,1270.0,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,ESTÁCIO RIBEIRÃO PRE,Ribeirão Preto,SP,1.642,2
6970,1273.0,Centro Universitário Campo Limpo Paulista, UNIFACCAMP,Campo Limpo Paulista,SP,0.738,1
6971,1294.0,Centro Universitário das Américas,CAM,São Paulo,SP,1.369,2
6972,1298.0,Faculdade Estácio de Alagoas - Estácio FAL,ESTÁCIO FAL,Maceió,AL,1.944,2
6973,1299.0,FACULDADES INTEGRADAS DE FERNANDÓPOLIS,FIFE,Fernandópolis,SP,1.354,2
6974,1303.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF Goiano,Ceres,GO,1.346,2
6975,1303.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF Goiano,Urutaí,GO,1.635,2
6976,1313.0,FACULDADE DE SUZANO,UNISUZ,Suzano,SP,0.489,1
6977,1325.0,FACULDADE DE APUCARANA,FAP,Apucarana,PR,2.603,3
6978,1334.0,CENTRO UNIVERSITÁRIO FACISA,UNIFACISA,Campina Grande,PB,2.853,3
6979,1336.0,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,FAG,Cascavel,PR,2.19,3
6983,1365.0,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,Hortolândia,SP,2.14,3
6984,1374.0,FACULDADE DE GUARANTÃ DO NORTE, UNIFAMA,Guarantã do Norte,MT,1.102,2
6986,1396.0,Centro Universitário Dinâmica das Cataratas,UDC,Foz do Iguaçu,PR,2.192,3
6987,1400.0,FACULDADE DA INDÚSTRIA SÃO JOSÉ DOS PINHAIS,FAIND/SJP,São José dos Pinhais,PR,2.585,3
6988,1409.0,FACULDADE DO CENTRO LESTE,UCL,Serra,ES,2.81,3
6989,1422.0,CENTRO UNIVERSITÁRIO DO NORTE,UNINORTE,Manaus,AM,1.784,2
6990,1426.0,INSTITUTO LUTERANO DE ENSINO SUPERIOR DE ITUMBIARA,ILES,Itumbiara,GO,1.488,2
6991,1441.0,FACULDADE DE TECNOLOGIA DO PIAUÍ,FATEPI,Teresina,PI,0.373,1
6992,1455.0,FACULDADE SANTÍSSIMO SACRAMENTO,FSSS,Alagoinhas,BA,1.836,2
6994,1472.0,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIASSELVI,Indaial,SC,1.953,3
6995,1477.0,Faculdade JK Michelangelo,FAJKMIC,Brasília,DF,1.459,2
6996,1492.0,FACULDADE PITÁGORAS DE UBERLÂNDIA,PIT UBERLÂNDIA,Uberlândia,MG,2.027,3
6997,1493.0,CENTRO UNIVERSITÁRIO ALVES FARIA,UNIALFA,Goiânia,GO,2.305,3
6998,1494.0,Centro Universitário Salesiano,UniSales,Vitória,ES,2.82,3
6999,1507.0,FACULDADE PROJEÇÃO DE CEILÂNDIA,FAPRO,Brasília,DF,2.96,4
7002,1538.0,CENTRO UNIVERSITARIO PROJEÇÃO,UNIPROJEÇÃO,Brasília,DF,1.771,2
7003,1542.0,CENTRO UNIVERSITÁRIO GERALDO DI BIASE,UGB,Volta Redonda,RJ,1.596,2
7005,1556.0,CENTRO UNIVERSITÁRIO SETE DE SETEMBRO,UNI7,Fortaleza,CE,2.271,3
7006,1557.0,UNIVERSIDADE FUMEC,FUMEC,Belo Horizonte,MG,2.105,3
7007,1559.0,CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO,UNESC,Colatina,ES,3.291,4
7008,1569.0,FACULDADES INTEGRADAS DE ARARAQUARA,FIAR,Araraquara,SP,0.645,1
7009,1575.0,CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ,UNIARAXÁ,Araxá,MG,2.377,3
7011,1586.0,UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVÁS,Pouso Alegre,MG,2.18,3
7014,1615.0,INSTITUTO SUPERIOR DO LITORAL DO PARANÁ,ISULPAR,Paranaguá,PR,1.905,2
7015,1640.0,CENTRO UNIVERSITÁRIO AGES,UniAGES,Paripiranga,BA,1.084,2
7016,1642.0,FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,Itabuna,BA,2.337,3
7017,1657.0,CENTRO UNIVERSITÁRIO UNISEP,CEUUN,Dois Vizinhos,PR,2.169,3
7018,1657.0,CENTRO UNIVERSITÁRIO UNISEP,CEUUN,Francisco Beltrão,PR,2.277,3
7019,1660.0,CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA,ESTÁCIO BRASÍLIA,Brasília,DF,1.29,2
7020,1661.0,Faculdade Projeção de Sobradinho,FAPRO,Brasília,DF,1.023,2
7022,1694.0,ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI,ESUCRI,Criciúma,SC,2.416,3
7023,1697.0,CENTRO UNIVERSITÁRIO FACOL,UNIFACOL,Vitória de Santo Antão,PE,2.862,3
7024,1702.0,CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA,ESTÁCIO AMAZÔNIA,Boa Vista,RR,2.54,3
7027,1717.0,Faculdade de Imperatriz Wyden,Facimp Wyden,Imperatriz,MA,2.683,3
7028,1721.0,FACULDADE DE VIÇOSA,FDV,Viçosa,MG,1.421,2
7029,1728.0,FACULDADE INTERAMERICANA DE PORTO VELHO,UNIRON,Porto Velho,RO,1.183,2
7030,1734.0,Centro Universitário Facid Wyden,UNIFACID WYDEN,Teresina,PI,1.269,2
7031,1736.0,CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO,UNILASALLE/RJ,Niterói,RJ,2.27,3
7032,1772.0,Centro Universitário Fanor Wyden,UniFanor Wyden,Fortaleza,CE,2.348,3
7033,1804.0,FACULDADE DE MAUÁ - FAMA,FAMA,Mauá,SP,1.463,2
7034,1807.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,Cedro,CE,2.14,3
7035,1807.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,Crato,CE,2.853,3
7036,1808.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,Serra,ES,3.398,4
7037,1808.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,Colatina,ES,2.877,3
7038,1808.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,Cachoeiro de Itapemirim,ES,2.789,3
7039,1811.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,Goiânia,GO,3.679,4
7040,1811.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,Inhumas,GO,1.804,2
7041,1811.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,Luziânia,GO,2.039,3
7042,1818.0,FACULDADE PITÁGORAS DE BELO HORIZONTE,FPAS,Belo Horizonte,MG,2.041,3
7043,1818.0,FACULDADE PITÁGORAS DE BELO HORIZONTE,FPAS,Belo Horizonte,MG,1.324,2
7044,1822.0,Centro Universitário Sul-Americana,UNIFASAM,Goiânia,GO,2.112,3
7045,1841.0,CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE,TOLEDO PRUDENTE,Presidente Prudente,SP,3.142,4
7048,1869.0,CENTRO UNIVERSITÁRIO DE ITAJUBÁ,FEPI,Itajubá,MG,2.958,4
7049,1872.0,CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA,UNI SANTA CRUZ,Curitiba,PR,1.814,2
7051,1885.0,CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,UNDB,São Luís,MA,2.776,3
7052,1892.0,Centro Universitário de Excelência Eniac,ENIAC,Guarulhos,SP,1.014,2
7053,1892.0,Centro Universitário de Excelência Eniac,ENIAC,Guarulhos,SP,2.515,3
7054,1895.0,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS,Fortaleza,CE,4.328,5
7055,1898.0,FACULDADE DO LITORAL SUL PAULISTA,FALS,Praia Grande,SP,1.315,2
7056,1900.0,"Centro Universitário de Ensino, Ciência e Tecnologia do Paraná",UniEnsino,Curitiba,PR,1.599,2
7057,1908.0,ESCOLA DE ENSINO SUPERIOR FABRA,FABRA,Serra,ES,2.13,3
7060,1927.0,CENTRO UNIVERSITÁRIO DO VALE DO IGUAÇU,UNIGUAÇU,União da Vitória,PR,2.71,3
7062,1978.0,Centro Universitário Fametro, Unifametro,Fortaleza,CE,1.202,2
7063,1988.0,CENTRO UNIVERSITARIO AVANTIS,UNIAVAN,Balneário Camboriú,SC,2.117,3
7066,2037.0,FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS,FCT,Lauro de Freitas,BA,2.862,3
7067,2113.0,FACULDADE DOM BOSCO DE PORTO ALEGRE,FDB,Porto Alegre,RS,2.931,3
7069,2135.0,CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ,UNICATÓLICA,Quixadá,CE,1.262,2
7070,2145.0,FACULDADE PROMOVE DE TECNOLOGIA,FPTEC,Belo Horizonte,MG,2.334,3
7071,2147.0,Centro Universitário CEUNI - FAMETRO,FAMETRO,Manaus,AM,2.83,3
7072,2175.0,CENTRO UNIVERSITÁRIO DANTE,UNIDANTE,Blumenau,SC,1.447,2
7073,2183.0,CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ,CUFSA,Santo André,SP,2.413,3
7074,2222.0,Centro Universitário do Rio São Francisco Unirios,UNIRIOS,Paulo Afonso,BA,2.674,3
7075,2275.0,FACULDADE SANTO AGOSTINHO,FASA,Montes Claros,MG,1.03,2
7076,2279.0,Centro Universitário Metrocamp Wyden,UniMetrocamp Wyden,Campinas,SP,0.855,1
7077,2365.0,CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS,UNICATÓLICA,Palmas,TO,2.277,3
7080,2466.0,FACUDADE IEDUCARE - FIED,FIED,Tianguá,CE,1.319,2
7081,2571.0,CENTRO UNIVERSITÁRIO REDENTOR,FACREDENTOR,Itaperuna,RJ,1.9,2
7082,2579.0,CENTRO UNIVERSITÁRIO ATENAS,UniAtenas,Paracatu,MG,1.35,2
7083,2593.0,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE JUAZEIRO DO NORTE,UNINASSAU,Juazeiro do Norte,CE,2.096,3
7084,2613.0,Centro Universitário Estácio Meta de Rio Branco Estácio,UNIMETA,Rio Branco,AC,3.021,4
7086,2774.0,Centro Universitário UNIFAFIBE,FAFIBE,Bebedouro,SP,1.867,2
7087,2835.0,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,UNINASSAU,Recife,PE,1.722,2
7088,2935.0,FACULDADE DE TALENTOS HUMANOS,FACTHUS,Uberaba,MG,2.702,3
7089,2961.0,Faculdade Estácio do Pantanal,Estácio FAPAN,Cáceres,MT,0.249,1
7090,2971.0,FACULDADE BARRETOS,FB,Barretos,SP,0.75,1
7091,3034.0,Faculdade Anhanguera de Salvador,FACDELTA,Salvador,BA,0.734,1
7092,3149.0,FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD,FPD,Divinópolis,MG,2.161,3
7093,3151.0,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Chapecó,SC,2.516,3
7094,3160.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,Maceió,AL,2.636,3
7095,3162.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",IFSC,Caçador,SC,2.693,3
7097,3172.0,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,Manaus,AM,3.096,4
7098,3183.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,Lagarto,SE,2.979,4
7099,3188.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,Pirapora,MG,2.045,3
7100,3188.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,Arinos,MG,2.256,3
7101,3188.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,Salinas,MG,2.298,3
7102,3188.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,Porteirinha,MG,1.806,2
7103,3189.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,Sabará,MG,3.247,4
7104,3189.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,Ouro Branco,MG,3.788,4
7105,3189.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,São João Evangelista,MG,1.257,2
7106,3279.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS",IFSEMG,Juiz de Fora,MG,2.738,3
7107,3368.0,CENTRO UNIVERSITÁRIO DO SUL DE MINAS,UNIS-MG,Varginha,MG,0.838,1
7108,3371.0,CENTRO UNIVERSITÁRIO DE PATOS DE MINAS,UNIPAM,Patos de Minas,MG,3.935,4
7110,3430.0,"Faculdade Uberlandense de Núcleos Integrados de Ensino, Serviço Social e Aprendizagem",FAESSA,Uberlândia,MG,1.832,2
7111,3495.0,FACULDADE PINHALZINHO,HORUS,Pinhalzinho,SC,0.412,1
7112,3529.0,CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA,UNIVEM,Marília,SP,2.561,3
7113,3588.0,CENTRO UNIVERSITÁRIO DOM PEDRO II,UNIDOMPEDRO,Salvador,BA,0.954,2
7114,3602.0,CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL,UNIBRASIL,Curitiba,PR,1.988,3
7115,3641.0,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS,UNIFEB,Barretos,SP,2.425,3
7116,3657.0,Faculdade Montes Claros,FACULMONTES,Montes Claros,MG,3.423,4
7117,3985.0,CENTRO UNIVERSITÁRIO SENAC,SENACSP,São Paulo,SP,2.185,3
7118,3998.0,INSTITUTO INFNET RIO DE JANEIRO,INFNET,Rio de Janeiro,RJ,3.264,4
7120,4098.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",IFFarroupilha,São Borja,RS,1.328,2
7121,4118.0,Centro Universitário Maurício de Nassau Paulista,UNINASSAU PAULISTA,Paulista,PE,1.804,2
7122,4163.0,CENTRO UNIVERSITÁRIO BARRIGA VERDE,UNIBAVE,Orleans,SC,2.103,3
7123,4255.0,FACULDADES INTEGRADAS DE CACOAL,UNESC,Cacoal,RO,2.34,3
7124,4358.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IF SUL DE MINAS,Machado,MG,2.016,3
7125,4396.0,CENTRO UNIVERSITÁRIO DE MINEIROS,UNIFIMES,Mineiros,GO,1.254,2
7126,4399.0,FACULDADE DE BALSAS,UNIBALSAS,Balsas,MA,2.729,3
7127,4420.0,Centro Universitário Aeso -  Barros Melo,Uniaeso,Olinda,PE,1.786,2
7128,4428.0,FACULDADE PROFESSOR MIGUEL ÂNGELO DA SILVA SANTOS,FEMASS,Macaé,RJ,3.529,4
7130,4502.0,FACULDADES INTEGRADAS CAMPO-GRANDENSES,FIC,Rio de Janeiro,RJ,0.96,2
7131,4504.0,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Dourados,MS,3.506,4
7134,4786.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",IFTO,Paraíso do Tocantins,TO,1.671,2
7135,4793.0,Faculdades Integradas Vale do Rio Verde,FIVAR,Itararé,SP,1.469,2
7136,4810.0,FACULDADE ANTÔNIO MENEGHETTI,AMF,Restinga Sêca,RS,2.838,3
7137,4849.0,Centro Universitário Tocantinense Presidente Antônio Carlos,UNITPAC,Araguaína,TO,0.545,1
7138,5036.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IF Catarinense,Araquari,SC,3.245,4
7139,5036.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IF Catarinense,Camboriú,SC,2.831,3
7140,5285.0,FACULDADES INTEGRADAS DE TAQUARA,FACCAT,Taquara,RS,2.494,3
7141,5313.0,Faculdades Unificadas de Cataguases,FUC,Cataguases,MG,2.236,3
7142,5370.0,Centro Universitário Doctum de Teófilo Otoni,UNIDOCTUM,Teófilo Otoni,MG,2.541,3
7143,5387.0,FACULDADE IMPACTA,IMPACTA,São Paulo,SP,1.565,2
7144,5439.0,CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS,UNICEPLAC,Brasília,DF,2.466,3
7145,5599.0,LIBERTAS - FACULDADES INTEGRADAS,LIBERTAS,São Sebastião do Paraíso,MG,2.04,3
7147,13481.0,FACULDADES INTEGRADAS RIO BRANCO GRANJA VIANNA,FRB-GV,Cotia,SP,3.048,4
7148,13684.0,FACULDADE PITÁGORAS DE CONTAGEM,PIT Contagem,Contagem,MG,1.825,2
7149,13812.0,ESCOLA SUPERIOR ABERTA DO BRASIL,ESAB,Vila Velha,ES,2.81,3
